Sample_number,Site_code,LU,Passage,Round,Day,Month,Year,Time,DayNb,DayNight,Season,Trap,Msq_genus,Msq_group,Msq_species,Msq_species_complete,Msq_ID,Sex,Fed,Comment ,Screen,Screen_bool,Pos_bool,PCR_species,Molecular_marker,Msq_species_molecular,UK_abdomen,DukeU_abdomen,Random selection ITS2 if Duke yes no need to re-do,PCR cytb Pos,PCR cytb seq
BC0001,FOL01,forest,low,1,17,10,2019,20,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0002,FOL01,forest,low,1,17,10,2019,20,Day1,Night,Rainy,HDN,Anopheles,Annularis,philippinensis,An. philippinensis,philippinensis,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0003,FOL01,forest,low,1,17,10,2019,20,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,Yes,,
BC0004,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,unidentified,unidentified,unidentified,unidentified,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0005,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0006,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0007,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0008,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0009,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,Yes,,
BC0010,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0011,FOL01,forest,low,1,17,10,2019,21,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0012,FOL01,forest,low,1,17,10,2019,22,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,ITS2,An. dirus,,Yes,No,,
BC0013,FOL01,forest,low,1,17,10,2019,22,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,Yes,,
BC0014,FOL01,forest,low,1,17,10,2019,22,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0015,FOL01,forest,low,1,17,10,2019,22,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Pos,1,0,Neg,,,,No,No,dif,Bad sequence
BC0016,FOL01,forest,low,1,17,10,2019,22,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0017,FOL01,forest,low,1,17,10,2019,23,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0018,FOL01,forest,low,1,17,10,2019,23,Day1,Night,Rainy,HDN,Anopheles,Barbirostris,barbirostris,An. barbirostris,barbirostris,Female,No,none,Neg,0,0,NA,,,,No,No,,
BC0019,FOL01,forest,low,1,17,10,2019,23,Day1,Night,Rainy,HDN,Anopheles,Leucosphyrus,dirus,An. dirus,dirus,Female,No,none,Neg,0,0,NA,,,,No,No,,
