BreedingSite,Site_code,LU,Round,Season,Latitude,Longitude,Date_time,Water_temp,Air_temp,Humidity,Wind,Weather,Dimensions,dim1,dim2,Dimension,Dimension_cat,Habitat_class,Habitat_description,Current,WaterReservoir_material,BottomLayer,BottomLayer_cat,BottomLayer_cat2,BottomLayer_Leaves,BottomLayer_Mud,BottomLayer_Rocks/gravels,BottomLayer_Other,Depth,Edges,Turbidity,Pollution,Pollution_cat,Pollution_cat2,Pollution_Plastic/rubbish,Pollution_debris,Pollution_oil,Pollution_AnimalFaeces,Pollution_other,Water_colour,Shading,LandUse_village,LandUse_plantations,LandUse_fields,LandUse_forest,LandUse_fields_cassava,LandUse_fields_rice,LandUse_fields_vacant,LandUse_plantations_cashew,LandUse_plantations_rubber,LandUse_plantations_banana,Vegetation,Vegetation_cat,Vegetation_cat2,Vegetation_submerged,Vegetation_emerged,Vegetation_floating,Vegetation_algae,VegetationSurface,Predators,Predators_cat,Predators_cat2,Predators_Coleoptera,Predators_Hemiptera,Predators_Odonata,Predators_Crustacean,Predators_MsqLarvae,Predators_Fish,Predators_other,Predators_Coleoptera_Dysticidae,Predators_Coleoptera_Hydrophilidae,Predators_Hemiptera_Notonectae,Predators_Hemiptera_Corixidae,Predators_Hemiptera_Nepidae,Predators_Hemiptera_unidentified,Predators_Hemiptera_other,Predators_Odonata_Dragonflies,Predators_Odonata_Damselflies,Predators_Odonata_unidentified,Predators_Odonata_other,Predators_Crustacean_Cyclopoids,Predators_MsqLarvae_Toxorynchites,Predators_other_1,Animals,Animals_amphibian,Animals_domestic,Animals_other,VisiblePeople,Remarks,Mosquito,Unidentified,NonAnopheles,NonAnopheles_genus,NonAnopheles_genus2,Aedes,Armigeres,Culex,Malaya,Tripteroides,Anopheles,Anopheles_SppNb,Anopheles_barbirostris,Anopheles_hyrcanus,Anopheles_indefinitus,Anopheles_jamesii,Anopheles_kochi,Anopheles_maculatus,Anopheles_nivipes,Anopheles_philippinensis,Anopheles_pyretophorus,Anopheles_subpictus,Anopheles_unidentified,Anopheles_vagus
FIH03-G037,FIH03,fields,4,Rainy,12.1762741,106.8718396,31/07/2020 11:44,27.7,29.8,99.9,No,Rainy,NA*330,10000,330,3300000,VeryLarge,Running water,Ditches and trenches,Yes,NA,Yes,Composite,Leaves-Mud,Yes,Yes,No,No,Deep,Shallow,Medium,Yes,AnimalFaeces,AnimalFaeces,No,Yes,No,Yes,No,White,Partial,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Multiple,Emerged-Algae,No,Yes,No,Yes,<5,Yes,Multiple,Multiple,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Gerridae,No,No,No,No,No,No,No,Yes,Yes,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
V06-G008,V06,village,1,Rainy,12.1812868,106.8738812,01/11/2019 09:47,25.1,30.4,62.9,Little,Cloudy,21*21,21,21,441,Small,Artificial containers,Plastic or rubbish,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Deep,Abrupt,Medium,Yes,Plastic,Plastic,Yes,No,No,No,No,Green,Partial,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Algae,Algae,No,No,No,Yes,25;50,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Many,2nd picture: took out for better view. Sampling with pipette. Couple m away from transect,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G036,FIL01,fields,4,Rainy,12.19261111,106.80625,06/08/2020 11:12,28.3,30.1,84.2,Little,Cloudy,175*17,175,17,2975,Medium,Natural containers,Tree holes,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Emerged,Emerged,No,Yes,No,No,<5,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G001,FIL01,fields,1,Rainy,12.1914908,106.8049224,30/10/2019 10:16,29.7,36.7,36.1,Medium,Cloudy,110*20,110,20,2200,Medium,Natural containers,Tree holes,NA,NA,Yes,Leaves,Leaves,Yes,No,No,Wood,Shallow,Shallow,Little,No,None,None,No,No,No,No,No,Brown,None,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL03-G006,FIL03,plantations,1,Rainy,12.1794197,106.9168089,15/10/2019 10:46,30.4,32.4,59.9,No,Sunny,5*5,5,5,25,VerySmall,Artificial containers,Cans,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Shallow,Abrupt,Little,No,None,None,No,No,No,No,No,Brown,Partial,No,Yes,No,No,NA,NA,NA,Yes,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL03-G009,FIL03,plantations,1,Rainy,12.1793379,106.9162305,15/10/2019 11:04,26.2,31.2,63.5,Little,Sunny,10*7,10,7,70,VerySmall,Artificial containers,Cans,NA,NA,Yes,Leaves,Leaves,Yes,No,No,No,Shallow,Abrupt,None,No,None,None,No,No,No,No,No,Brown,Complete,No,Yes,No,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Edge of bamboo,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G063,FIL01,fields,4,Rainy,12.1926971,106.8061955,06/08/2020 10:27,27.2,27.7,NA,Little,Cloudy,24*12,24,12,288,Small,Natural containers,Leaves dropped on the floor,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1 pupae,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G066,FIL01,fields,4,Rainy,12.1916607,106.8051168,06/08/2020 11:18,29.8,30.5,84.2,Little,Cloudy,37*4,37,4,148,Small,Natural containers,Tree holes,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fallen tree,1,1,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G072,FIL01,fields,4,Rainy,12.1210477,106.8177709,06/08/2020 12:03,27.2,28.9,89.9,Little,Rainy,27*13,27,13,351,Small,Natural containers,Tree holes,NA,NA,Yes,Mud,Mud,No,Yes,No,No,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Transparent,Partial,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIL01-G002,FIL01,fields,1,Rainy,12.1927504,106.8062451,30/10/2019 10:44,28.5,35.1,32.2,Little,Sunny,11*5,11,5,55,VerySmall,Natural containers,Leaves dropped on the floor,NA,NA,Yes,None,None,No,No,No,Unknown,Shallow,Shallow,None,No,None,None,No,No,No,No,No,Brown,Complete,No,No,Yes,No,NA,NA,NA,NA,NA,NA,No,None,None,No,No,No,No,NA,No,None,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,1,0,1,Aedes,Aedes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
