Sample_number,Breeding_site_code,Site_code,LU,Round,Day,Month,Year,Season,Genus,Species,Species_complete,Sex
1,PL01_G003,PL01,plantations,1,2,11,2019,Rainy,Culex,,,male
2,FIH03_G17,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
3,FIH03_G17,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
4,FIH03_G18,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
5,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,male
6,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,unidentified,,female
7,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
8,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
9,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
10,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
11,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
12,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
13,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
14,FIL01_G003,FIL01,fields,1,30,10,2019,Rainy,Culex,,,male
15,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
16,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
17,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,male
18,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
19,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
20,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
21,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,male
22,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,male
23,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,unidentified,,female
24,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
25,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
26,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,unidentified,,male
27,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,unidentified,,male
28,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,unidentified,,male
29,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,subpictus,An. subpictus,female
30,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,indefinitus,An. indefinitus,female
31,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,indefinitus,An. indefinitus,female
32,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,indefinitus,An. indefinitus,female
33,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,indefinitus,An. indefinitus,female
34,V06_G016,V06,village,1,1,11,2019,Rainy,Anopheles,indefinitus,An. indefinitus,female
35,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
36,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
37,FIH03_G013,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
38,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
39,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
40,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
41,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
42,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
43,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,male
44,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,female
45,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,female
46,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,female
47,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,female
48,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,female
49,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,male
50,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
51,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
52,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
53,FIH03_G012,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
54,PL04_G005,PL04,plantations,1,1,11,2019,Rainy,Aedes,,,male
55,V06_G009,V06,village,1,1,11,2019,Rainy,Malaya ,jacobsoni,An. jacobsoni,female
56,V06_G009,V06,village,1,1,11,2019,Rainy,Malaya ,jacobsoni,An. jacobsoni,female
57,V06_G009,V06,village,1,1,11,2019,Rainy,Malaya ,jacobsoni,An. jacobsoni,female
58,V06_G009,V06,village,1,1,11,2019,Rainy,Malaya ,jacobsoni,An. jacobsoni,female
59,V06_G009,V06,village,1,1,11,2019,Rainy,Malaya ,jacobsoni,An. jacobsoni,female
60,V06_G009,V06,village,1,1,11,2019,Rainy,Malaya ,jacobsoni,An. jacobsoni,female
61,FIH03_G015,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
62,FIH03_G015,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
63,FIH03_G015,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,male
64,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
65,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
66,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
67,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
68,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
69,FIH03_G014,FIH03,fields,1,1,11,2019,Rainy,Anopheles,subpictus,An. subpictus,female
70,V05_G005,V05,village,1,1,11,2019,Rainy,Anopheles,vagus,An. vagus,female
71,V05_G003,V05,village,1,29,10,2019,Rainy,Culex,,,female
72,V05_G004,V05,village,1,29,10,2019,Rainy,Anopheles,vagus,An. vagus,female
73,V05_G004,V05,village,1,29,10,2019,Rainy,Anopheles,unidentified,,male
74,V05_G004,V05,village,1,29,10,2019,Rainy,Anopheles,vagus,An. vagus,female
75,V05_G004,V05,village,1,29,10,2019,Rainy,Anopheles,vagus,An. vagus,female
76,V05_G007,V05,village,1,1,11,2019,Rainy,Culex,,,male
77,V05_G007,V05,village,1,1,11,2019,Rainy,Culex,,,male
78,V06_G007,V06,village,1,1,11,2019,Rainy,Aedes,,,female
79,V06_G007,V06,village,1,1,11,2019,Rainy,Aedes,,,male
80,V06_G008,V06,village,1,1,11,2019,Rainy,Aedes,,,female
81,V06_G008,V06,village,1,1,11,2019,Rainy,Aedes,,,female
82,V06_G009,V06,village,1,1,11,2019,Rainy,Culex,,,female
83,V06_G009,V06,village,1,1,11,2019,Rainy,Culex,,,female
84,V06_G015,V06,village,1,1,11,2019,Rainy,Anopheles,unidentified,,male
85,V06_G015,V06,village,1,1,11,2019,Rainy,Anopheles,vagus,An. vagus,female
86,V06_G016,V06,village,1,1,11,2019,Rainy,Culex,,,male
87,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Culex,,,male
88,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
89,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,unidentified,,male
90,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,unidentified,,male
91,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
92,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
93,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,unidentified,,male
94,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,unidentified,,male
95,PL01_G005,PL01,plantations,1,2,11,2019,Rainy,Anopheles,unidentified,,male
96,V05_G007,V05,village,1,29,10,2019,Rainy,Culex,,,male
97,V05_G007,V05,village,1,29,10,2019,Rainy,Culex,,,male
98,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,female
99,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
100,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
101,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
102,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
103,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
104,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,female
105,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
106,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
107,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
108,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
109,FIL01_G001,FIL01,fields,1,1,11,2019,Rainy,Aedes,,,male
110,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
111,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
112,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
113,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
114,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
115,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
116,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
117,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
118,FIH03_G009,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
119,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Anopheles,unidentified,,male
120,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,female
121,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Anopheles,jamessii,An. jamessii,female
122,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
123,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
124,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
125,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Culex,,,female
126,FIH03_G005,FIH03,fields,1,1,11,2019,Rainy,Culex,,,male
127,FIH03_G004,FIH03,fields,1,1,11,2019,Rainy,Anopheles,philippinensis,An. philippinensis,female
