country,GDP_per_capita
Aruba,24008.12782
Africa Eastern and Southern,1355.805923
Afghanistan,512.0550982
Africa Western and Central,1688.075575
Angola,1450.905112
Albania,5343.037704
Andorra,37207.23887
Arab World,5644.14257
United Arab Emirates,37629.17417
Argentina,8500.837939
Armenia,4505.867742
American Samoa,15609.77722
Antigua and Barbuda,15224.85859
Australia,51868.24756
Austria,48789.49785
Azerbaijan,4229.910649
Burundi,216.8274175
Belgium,45609.00349
Benin,1240.733155
Burkina Faso,823.5524109
Bangladesh,2233.305901
Bulgaria,10148.3424
Bahrain,23433.18724
"Bahamas, The",23998.26802
Bosnia and Herzegovina,6095.104237
Belarus,6542.86454
Belize,5185.15807
Bermuda,107791.8864
Bolivia,3068.812555
Brazil,6923.699912
Barbados,16882.50152
Brunei Darussalam,27179.35289
Bhutan,3181.339747
Botswana,5875.070606
Central African Republic,435.4692478
Canada,43562.43583
Central Europe and the Baltics,16297.9641
Switzerland,85897.78433
Channel Islands,57339.52687
Chile,13173.78479
China,10408.71955
Cote d'Ivoire,2349.069882
Cameroon,1539.130545
"Congo, Dem. Rep.",524.6666862
"Congo, Rep.",2011.269479
Colombia,5304.289129
Comoros,1519.58678
Cabo Verde,3126.399859
Costa Rica,12179.25667
Caribbean small states,8846.494092
Cuba,9499.572504
Curacao,16356.09333
Cayman Islands,83897.50544
Cyprus,28281.42578
Czechia,22992.87938
Germany,46749.47623
Djibouti,2921.738706
Dominica,7003.469891
Denmark,60836.59241
Dominican Republic,7167.914974
Algeria,3354.153164
East Asia & Pacific (excluding high income),8262.990946
Early-demographic dividend,3242.515083
East Asia & Pacific,11487.31134
Europe & Central Asia (excluding high income),7477.878431
Europe & Central Asia,24021.79603
Ecuador,5645.19929
"Egypt, Arab Rep.",3571.556907
Euro area,37914.8578
Eritrea,
Spain,26984.29628
Estonia,23595.24368
Ethiopia,918.6525941
European Union,34356.57462
Fragile and conflict affected situations,1700.985671
Finland,49169.71934
Fiji,4815.689148
France,39179.74426
Faroe Islands,62234.96868
"Micronesia, Fed. Sts.",3639.412699
Gabon,6680.082665
United Kingdom,40217.00901
Georgia,4255.742993
Ghana,2176.576218
Gibraltar,
Guinea,1073.659339
"Gambia, The",704.0304628
Guinea-Bissau,710.258133
Equatorial Guinea,6198.942524
Greece,17617.29151
Grenada,8437.536782
Greenland,54693.07668
Guatemala,4609.897258
Guam,34780.86166
Guyana,6863.074346
High income,43457.69824
"Hong Kong SAR, China",46109.22999
Honduras,2354.121434
Heavily indebted poor countries (HIPC),968.4658813
Croatia,14269.90885
Haiti,1283.141228
Hungary,16125.60941
IBRD only,6177.526395
IDA & IBRD total,4901.569304
IDA total,1373.087617
IDA blend,1722.41777
Indonesia,3895.618152
IDA only,1200.249071
Isle of Man,79530.60548
India,1913.219733
Not classified,
Ireland,85973.08849
"Iran, Islamic Rep.",2746.419483
Iraq,4251.337253
Iceland,58848.41812
Israel,44846.7916
Italy,31922.91916
Jamaica,4897.26475
Jordan,3998.673138
Japan,40040.76551
Kazakhstan,9121.636409
Kenya,1936.250755
Kyrgyz Republic,1256.929226
Cambodia,1577.91174
Kiribati,1403.993853
St. Kitts and Nevis,18553.65714
"Korea, Rep.",31721.29891
Kuwait,24297.7108
Latin America & Caribbean (excluding high income),6889.469861
Lao PDR,2593.355097
Lebanon,5599.957523
Liberia,597.5296919
Libya,7034.658364
St. Lucia,8951.524766
Latin America & Caribbean,7393.174719
Least developed countries: UN classification,1081.352515
Low income,656.6866746
Liechtenstein,165287.1868
Sri Lanka,3852.389091
Lower middle income,2123.350264
Low & middle income,4735.357322
Lesotho,917.3563813
Late-demographic dividend,9722.310421
Lithuania,20381.85578
Luxembourg,116905.3704
Latvia,18096.20271
"Macao SAR, China",37474.73459
St. Martin (French part),
Morocco,3258.269043
Monaco,182537.3874
Moldova,4376.242493
Madagascar,462.4042288
