ID,COUNTRY_NAME,ISO2,ADMIN1,ADMIN2,SITE_NAME,SITE_CODE,LATITUDE,LONGITUDE,TEST_TYPE,INSECTICIDE_CLASS,INSECTICIDE_CONC,INSECTICIDE_INTENSITY,INSECTICIDE_TYPE,YEAR_START,VECTOR_SPECIES,STAGE_ORIGIN,MOSQUITO_NUMBER,TIME_HOLDING_POSTEXPOSURE,MORTALITY_ADJUSTED,RESISTANCE_INTENSITY,DATA_SOURCE,CITATION,CITATION_URL,DATA_CURATOR
IR000001289,China,CN,Hubei,Suizhou Shi,Guangshui,IRCN25,31.63,113.8238,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2010,An. sinensis s.l.,F0_ADULTS_(WILD_COLLECTED),97,undefined,15.5,N/A,Hubei CDC,Hubei CDC,NA,World Health Organization
IR000001347,China,CN,Guangdong,Jiangmen Shi,Heshan County,IRCN33,22.67,112.7911,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,107,undefined,28.6,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
IR000002642,China,CN,Henan,Shangqiu Shi,Yongcheng,IRCN103,33.9612,116.3087,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,108,undefined,20.4,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
IR000001855,China,CN,Sichuan,Ya'an Shi,Mingshan,IRCN65,30.1212,103.2257,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,92,undefined,64.5,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
IR000002376,China,CN,Shanghai,Shanghai Shi,Songjiang,IRCN79,31.0128,121.2017,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,80,undefined,57.5,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
IR000001978,China,CN,Yunnan,Simao Diqu,Ninger,IRCN67,23.1068,101.1993,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,100,undefined,45.8,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
IR000002360,China,CN,Jiangsu,Suqian Shi,Sihong,IRCN77,33.4373,118.3107,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,96,undefined,35.7,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
IR000001292,China,CN,Hubei,Suizhou Shi,Guangshui,IRCN25,31.63,113.8238,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2010,An. sinensis s.l.,F0_ADULTS_(WILD_COLLECTED),102,undefined,5.9,N/A,Hubei CDC,Hubei CDC,NA,World Health Organization
IR000001296,China,CN,Hubei,Suizhou Shi,Guangshui,IRCN25,31.63,113.8238,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,102,undefined,6,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
IR000001449,China,CN,Jiangxi,Nanchang Shi,Jinxian County,IRCN48,28.4302,116.3106,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2010,An. sinensis s.l.,NR,107,undefined,12.4,Moderate to high intensity,N/A,Wang et al. (2013) A potential threat to malaria elimination: extensive deltamethrin and DDT resistance to Anopheles sinensis from the malaria-endemic areas in China.. Malar J. 2013 May 17;12:164,https://www.ncbi.nlm.nih.gov/pubmed/23683359,World Health Organization
