country,code,continent,incidence_per_1000,malaria_deaths,population,forest_area,rural_pop,access_electricity,pop_growth,GDP_growth,working_age_pop,life_expectancy
Bermuda,BMU,Americas,0,0,64051,18.5185185,0,100,-0.0281681,-6.8117095,66.0482114,81.136
Cayman Islands,CYM,Americas,0,0,67327,53,0,100,1.76406838,-6.7674129,75.5825614,NA
Hong Kong,HKG,Asia,0,0,NA,0,0,100,-0.3589327,-6.2087551,68.9959982,85.497561
Macao,MAC,Asia,0,0,NA,0,0,100,NA,-55.188681,73.9855948,85.184
Kuwait,KWT,Asia,0,0,4360451,0.35072952,0,100,NA,-7.1693568,75.0417876,76.92
Singapore,SGP,Asia,0,0,5909874,21.6852368,0,100,NA,-3.6008481,74.6939759,84.4658537
Gibraltar,GIB,Europe,0,0,32739,0,0,100,0.07340123,,62.7268141,82.198
Monaco,MCO,Europe,0,0,36943,0,0,100,NA,-12.747219,51.537024,NA
Nauru,NRU,Pacific,0,0,12339,0,0,100,NA,2.68832965,58.9118961,63.437
Qatar,QAT,Asia,0,0,2760390,0,0.765,100,NA,-1.9207576,83.3925159,79.099
Belgium,BEL,Europe,0,0,11561716,22.7642008,1.921,100,0.43099682,-5.6682235,63.9988837,80.695122
San Marino,SMR,Europe,0,0,34038,16.6666667,2.501,100,NA,-6.1785014,66.9200459,NA
Virgin Islands (U.S.),VIR,Americas,0,0,NA,56.8857143,4.061,100,NA,-1.5670348,61.0911716,79.8195122
Uruguay,URY,Americas,0,0,3429087,11.6043881,4.485,100,NA,-6.2814832,64.8650158,78.43
Guam,GUM,Pacific,0,0,169245,51.8518519,5.062,100,0.35932613,-11.710001,62.3417104,76.612
Malta,MLT,Europe,0,0,515364,1.4375,5.256,100,NA,-10.088252,67.9599424,82.3487805
Iceland,ISL,Europe,0,0,366682,0.50927303,6.102,100,NA,-8.7094845,66.7186209,83.0634146
Turks and Caicos Islands,TCA,Americas,0,0,44297,11.0736842,6.395,99.4,NA,-28.760645,73.211523,75.001
Puerto Rico,PRI,Americas,0,0,3271570,55.9560316,6.419,100,NA,-6.7677565,64.3548217,78.041
